Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2020-09-12,2020-2021,Fulham,Arsenal,73,80,75,82,74,81,71,78,38,42,26,24,239.75,619.25,0,3,A,0,1,A,5,13,2,6,12,12,2,3,2,2,0,0,0.13,2.16,0.1,1.07,0.06,2.89,32.69,21.93,6.0,4.33,1.53,5.5,4.25,1.57,6.0,3.9,1.57,6.16,4.51,1.56,6.5,4.2,1.53,6.5,4.2,1.55,5.48,3.98,1.69
E0,2020-09-12,2020-2021,Crystal Palace,Southampton,77,76,77,77,77,76,76,75,36,39,27,24,193.85,282.8,1,0,H,1,0,H,5,9,3,5,14,11,7,3,2,1,0,0,1.4,1.26,1.4,1.16,1.48,1.22,17.33,3.61,3.1,3.25,2.37,3.0,3.2,2.45,3.15,2.95,2.4,3.32,3.29,2.4,3.2,3.2,2.35,3.2,3.2,2.4,3.09,3.27,2.54
E0,2020-09-12,2020-2021,Liverpool,Leeds,85,72,89,71,83,73,86,72,43,39,24,24,969.65,238.1,4,3,H,3,2,H,22,6,6,3,9,6,9,0,1,0,0,0,3.15,0.27,1.29,0.16,2.93,0.04,9.94,9.33,1.28,6.0,9.5,1.26,6.25,10.5,1.35,5.0,8.5,1.31,6.25,9.92,1.27,6.0,10.0,1.3,5.75,10.5,1.28,6.34,11.38
E0,2020-09-12,2020-2021,West Ham,Newcastle United,78,77,79,77,78,77,76,76,39,33,26,26,334.9,255.35,0,2,A,0,0,D,15,15,3,2,13,7,8,7,2,2,0,0,0.86,1.66,0.63,1.49,0.7,2.05,6.41,24.18,2.15,3.4,3.4,2.15,3.4,3.4,2.15,3.15,3.4,2.18,3.61,3.5,2.15,3.5,3.4,2.15,3.4,3.6,2.04,3.59,3.92
E0,2020-09-13,2020-2021,West Bromwich Albion,Leicester,72,80,71,79,74,78,71,81,43,40,26,25,141.15,510.7,0,3,A,0,0,D,7,13,1,7,12,9,2,5,1,1,0,0,0.35,2.96,0.22,0.75,0.06,2.91,19.11,10.53,3.8,3.6,1.95,3.7,3.6,2.0,3.85,3.2,2.0,4.0,3.59,2.0,3.8,3.6,1.95,4.0,3.5,1.95,3.38,3.38,2.32
E0,2020-09-13,2020-2021,Tottenham,Everton,82,78,88,80,81,75,81,79,41,44,24,24,703.5,511.2,0,1,A,0,0,D,9,15,5,4,15,7,5,3,1,0,0,0,0.82,1.27,0.82,0.72,0.96,1.74,11.33,16.26,1.83,3.6,4.33,1.85,3.6,4.33,1.95,3.25,4.1,1.94,3.57,4.3,1.88,3.5,4.33,1.87,3.5,4.33,2.09,3.5,3.88
E0,2020-09-14,2020-2021,Brighton,Chelsea,76,81,77,79,76,82,76,81,46,39,24,25,290.4,889.2,1,3,A,0,1,A,13,10,3,5,8,13,4,3,1,0,0,0,1.44,1.27,1.37,0.51,1.48,1.21,9.34,12.7,5.0,4.33,1.61,5.0,4.1,1.65,5.0,3.7,1.67,5.36,4.34,1.65,5.25,4.0,1.65,5.25,3.9,1.65,6.07,4.46,1.57
E0,2020-09-14,2020-2021,Sheffield United,Wolverhampton Wanderers,75,79,74,80,77,82,77,77,40,38,24,23,149.85,450.3,0,2,A,0,2,A,9,11,2,4,13,7,12,5,2,1,0,0,0.95,1.61,0.92,0.97,0.8,1.91,8.23,31.33,3.25,3.1,2.37,3.4,3.1,2.3,3.35,2.7,2.45,3.41,3.03,2.46,3.3,3.1,2.38,3.4,3.0,2.38,3.28,2.9,2.68
E0,2020-09-19,2020-2021,Everton,West Bromwich Albion,78,72,80,71,75,74,79,71,44,43,24,26,511.2,141.15,5,2,H,2,1,H,17,6,7,4,9,11,11,1,1,0,0,1,4.16,0.32,2.13,0.22,2.99,0.0,9.1,41.5,1.5,4.2,6.5,1.55,4.2,6.0,1.55,4.0,6.0,1.55,4.33,6.46,1.52,4.2,6.5,1.5,4.2,7.0,1.61,4.12,6.41
E0,2020-09-19,2020-2021,Leeds,Fulham,72,73,71,75,73,74,72,71,39,38,24,26,238.1,239.75,4,3,H,2,1,H,10,14,7,6,13,18,5,3,1,2,0,0,1.45,1.56,0.54,0.67,1.26,1.43,7.62,9.42,1.61,3.9,5.75,1.62,4.0,5.5,1.65,3.7,5.5,1.65,4.05,5.61,1.63,3.9,5.5,1.62,3.9,6.0,1.75,3.91,5.12
