Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2017-08-11,2017-2018,Arsenal,Leicester,83,78,86,79,82,79,80,76,45,34,24,26,694.0,304.25,4,3,H,2,2,D,27,6,10,3,9,12,9,4,0,1,0,0,2.54,1.46,2.5,1.39,2.1,0.69,5.44,13.55,1.53,4.5,6.5,1.5,4.6,6.75,1.47,4.5,6.5,1.53,4.55,6.85,1.53,4.2,6.0,1.53,4.5,6.5,1.49,4.73,7.25
E0,2017-08-12,2017-2018,Brighton,Manchester City,74,83,74,84,74,85,73,81,39,32,26,25,148.2,1010.0,0,2,A,0,0,D,6,14,2,4,6,9,3,10,0,2,0,0,0.28,1.87,0.07,1.16,0.17,2.71,67.33,5.44,11.0,5.5,1.33,11.0,5.25,1.3,8.0,5.3,1.35,10.95,5.55,1.34,10.0,4.8,1.33,10.0,5.5,1.33,11.75,6.15,1.29
E0,2017-08-12,2017-2018,Chelsea,Burnley,84,75,85,74,85,75,82,75,46,30,24,27,884.25,169.3,2,3,A,0,3,A,19,10,6,5,16,11,8,5,3,3,2,0,1.36,0.56,1.17,0.34,2.05,0.66,9.94,23.75,1.25,6.5,15.0,1.22,6.5,12.5,1.22,6.2,13.5,1.26,6.3,15.25,1.25,5.5,13.0,1.25,6.25,15.0,1.33,5.4,12.25
E0,2017-08-12,2017-2018,Crystal Palace,Huddersfield,76,73,81,73,76,73,75,72,41,35,25,25,220.73,106.05,0,3,A,0,2,A,14,8,4,6,7,19,12,9,1,3,0,0,0.99,1.74,0.45,1.58,0.71,2.04,6.5,6.91,1.83,3.6,5.0,1.8,3.5,4.75,1.85,3.5,4.3,1.83,3.58,5.11,1.8,3.3,5.0,1.83,3.6,5.0,1.79,3.56,5.51
E0,2017-08-12,2017-2018,Everton,Stoke,80,77,79,78,82,77,79,77,48,35,24,26,381.25,192.45,1,0,H,1,0,H,9,9,4,1,13,10,6,7,1,1,0,0,0.72,0.28,0.57,0.23,1.76,0.81,6.19,14.45,1.7,3.8,5.75,1.7,3.6,5.5,1.7,3.7,5.0,1.7,3.83,5.81,1.7,3.5,5.5,1.7,3.8,5.75,1.82,3.49,5.42
E0,2017-08-12,2017-2018,Southampton,Swansea,78,76,78,75,78,77,77,75,29,36,25,26,297.0,165.49,0,0,D,0,0,D,29,4,2,0,10,13,13,0,2,1,0,0,2.22,0.41,1.94,0.37,2.62,0.25,8.52,12.88,1.62,4.0,6.5,1.57,4.0,6.0,1.65,3.8,5.3,1.64,3.94,6.35,1.62,3.6,6.0,1.65,4.0,5.5,1.56,4.25,6.85
E0,2017-08-12,2017-2018,Watford,Liverpool,77,82,77,83,76,82,76,80,37,35,26,24,196.0,857.5,3,3,D,2,1,H,9,14,4,5,14,8,3,3,0,3,0,0,2.18,2.62,0.73,1.85,1.02,1.69,11.26,14.71,6.0,4.2,1.62,6.0,4.2,1.55,5.5,4.0,1.6,5.74,4.29,1.63,5.5,3.8,1.62,6.0,4.0,1.65,6.88,4.27,1.56
E0,2017-08-12,2017-2018,West Bromwich Albion,Bournemouth,76,75,80,76,75,74,76,75,33,35,26,26,165.95,144.5,1,0,H,1,0,H,16,9,6,2,15,3,8,2,3,1,0,0,1.18,0.38,1.17,0.32,2.07,0.63,17.39,12.0,2.4,3.3,3.3,2.4,3.2,3.1,2.3,3.3,3.15,2.46,3.25,3.26,2.5,3.1,3.0,2.5,3.3,3.13,2.65,3.21,3.02
E0,2017-08-13,2017-2018,Manchester United,West Ham,83,79,86,80,83,79,81,78,35,41,26,25,849.5,260.6,4,0,H,1,0,H,22,9,6,1,19,7,11,1,2,2,0,0,2.64,0.63,2.51,0.57,2.66,0.23,9.36,13.35,1.3,5.75,12.0,1.28,5.5,11.0,1.33,5.3,8.7,1.33,5.68,10.85,1.3,5.0,11.0,1.3,5.5,11.5,1.31,5.79,12.01
E0,2017-08-13,2017-2018,Newcastle United,Tottenham,75,82,74,86,75,82,75,81,37,34,25,24,208.28,829.6,0,2,A,0,0,D,6,18,3,6,6,10,5,7,1,2,1,0,0.63,2.34,0.57,1.7,0.28,2.58,29.5,7.13,5.5,4.0,1.7,5.25,3.8,1.67,4.8,3.6,1.75,5.35,4.0,1.71,5.0,3.75,1.7,5.5,4.0,1.7,4.82,3.9,1.8
