Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2018-08-10,2018-2019,Manchester United,Leicester,83,78,85,79,84,78,81,78,36,37,25,26,797.6,434.1,2,1,H,1,0,H,8,13,6,4,11,8,2,5,2,1,0,0,1.51,1.74,0.75,0.69,1.17,1.5,15.83,11.46,1.57,3.9,7.5,1.53,4.0,7.5,1.55,3.8,7.0,1.58,3.93,7.5,1.57,3.8,6.0,1.57,4.0,7.0,1.55,4.07,7.69
E0,2018-08-11,2018-2019,Bournemouth,Cardiff,76,72,76,73,76,72,76,72,37,35,25,27,310.0,113.0,2,0,H,1,0,H,12,10,4,1,11,9,7,4,1,1,0,0,2.6,1.51,1.67,1.54,2.24,0.55,5.63,15.82,1.9,3.6,4.5,1.9,3.4,4.4,1.9,3.5,4.1,1.89,3.63,4.58,1.91,3.5,4.0,1.87,3.6,4.75,1.88,3.61,4.7
E0,2018-08-11,2018-2019,Fulham,Crystal Palace,75,77,74,77,77,76,73,75,33,36,25,26,254.25,289.0,0,2,A,0,1,A,15,10,6,9,9,11,5,5,1,2,0,0,0.64,1.08,,,0.93,1.75,4.53,22.79,2.5,3.4,3.0,2.45,3.3,2.95,2.4,3.3,2.95,2.5,3.46,3.0,2.45,3.3,2.8,2.5,3.4,3.0,2.62,3.38,2.9
E0,2018-08-11,2018-2019,Huddersfield,Chelsea,74,84,75,84,74,85,75,82,33,54,25,25,137.45,1170.0,0,3,A,0,2,A,6,13,1,4,9,8,2,5,2,1,0,0,0.4,2.31,0.38,1.35,0.17,2.73,11.55,12.67,6.5,4.0,1.61,6.25,3.9,1.57,6.2,4.0,1.55,6.41,4.02,1.62,5.8,3.9,1.57,6.5,4.0,1.62,7.24,3.95,1.58
E0,2018-08-11,2018-2019,Newcastle United,Tottenham,76,83,76,85,76,84,76,82,37,34,26,25,244.65,898.6,1,2,A,1,2,A,15,15,2,5,11,12,3,5,2,2,0,0,0.97,2.58,0.77,2.22,0.39,2.46,17.45,5.66,3.9,3.5,2.04,3.8,3.5,2.0,3.7,3.35,2.05,3.83,3.57,2.08,3.8,3.2,2.05,3.9,3.4,2.1,4.74,3.53,1.89
E0,2018-08-11,2018-2019,Watford,Brighton,77,76,77,76,77,76,76,75,39,41,26,25,239.1,194.35,2,0,H,1,0,H,19,6,5,0,10,16,8,2,2,2,0,0,1.42,0.46,1.17,0.42,2.19,0.55,8.7,14.25,2.37,3.2,3.4,2.35,3.1,3.3,2.2,3.3,3.4,2.43,3.22,3.33,2.38,3.0,3.3,2.4,3.2,3.4,2.58,3.08,3.22
E0,2018-08-11,2018-2019,Wolverhampton Wanderers,Everton,75,78,76,77,80,79,73,79,40,40,24,26,302.9,529.1,2,2,D,1,1,D,11,6,4,5,8,7,3,6,0,1,0,1,0.89,0.72,0.67,0.63,1.45,1.17,25.33,15.6,2.37,3.3,3.3,2.35,3.2,3.2,2.25,3.35,3.2,2.36,3.4,3.28,2.3,3.2,3.2,2.38,3.3,3.3,2.44,3.23,3.32
E0,2018-08-12,2018-2019,Arsenal,Manchester City,82,85,85,85,81,87,81,83,42,46,24,24,659.05,1200.0,0,2,A,0,1,A,9,17,3,8,11,14,2,9,2,2,0,0,0.45,2.02,0.45,0.57,0.28,2.58,13.56,10.95,4.0,3.8,1.95,3.7,3.75,1.95,3.6,3.6,2.0,4.0,3.97,1.93,3.8,3.8,1.91,3.9,4.0,1.91,4.43,4.13,1.81
E0,2018-08-12,2018-2019,Liverpool,West Ham,82,78,85,80,82,78,81,77,39,37,24,26,1170.0,359.0,4,0,H,2,0,H,18,5,8,2,14,9,5,4,1,2,0,0,4.34,0.4,3.42,0.4,2.98,0.01,8.03,25.19,1.25,6.5,14.0,1.2,6.75,14.0,1.25,6.1,11.0,1.27,6.35,13.25,1.25,5.5,12.0,1.25,6.5,13.0,1.25,6.95,12.0
E0,2018-08-12,2018-2019,Southampton,Burnley,77,77,76,76,77,77,76,78,40,33,24,28,305.4,197.25,0,0,D,0,0,D,18,16,3,6,10,9,8,5,0,1,0,0,1.02,1.41,0.98,0.6,1.04,1.68,16.58,7.81,1.85,3.5,5.0,1.8,3.5,4.75,1.8,3.6,4.5,1.86,3.51,4.99,1.83,3.25,4.8,1.85,3.4,5.2,2.03,3.19,4.65
E0,2018-08-18,2018-2019,Cardiff,Newcastle United,72,76,73,76,72,76,72,76,35,37,27,26,113.0,244.65,0,0,D,0,0,D,12,12,1,6,14,16,5,5,2,2,0,1,1.16,1.55,1.05,0.53,1.0,1.7,5.03,6.29,3.25,3.1,2.54,3.1,3.1,2.45,2.9,3.2,2.5,3.25,3.12,2.54,3.1,3.0,2.45,3.25,3.1,2.55,3.27,3.21,2.47
E0,2018-08-18,2018-2019,Chelsea,Arsenal,84,82,84,85,85,81,82,81,54,42,25,24,1170.0,659.05,3,2,H,2,2,D,24,15,11,6,12,9,5,1,0,2,0,0,1.72,2.46,1.46,2.39,0.9,1.9,10.76,18.14,1.8,4.0,4.5,1.78,3.8,4.5,1.8,3.8,4.2,1.83,3.97,4.46,1.83,3.75,4.0,1.8,4.0,4.5,1.83,3.84,4.64
E0,2018-08-18,2018-2019,Everton,Southampton,78,77,77,76,79,77,79,76,40,40,26,24,529.1,305.4,2,1,H,2,0,H,13,15,7,4,8,20,2,5,0,5,0,0,2.02,1.77,1.95,0.98,1.56,1.17,5.07,9.82,1.9,3.5,4.75,1.91,3.3,4.5,2.0,3.25,4.0,1.89,3.56,4.71,1.91,3.4,4.0,1.91,3.5,4.6,1.84,3.63,4.92
E0,2018-08-18,2018-2019,Leicester,Wolverhampton Wanderers,78,75,79,76,78,80,78,73,37,40,26,24,434.1,302.9,2,0,H,2,0,H,6,11,2,3,10,8,1,9,2,1,1,0,0.22,1.09,0.19,0.48,0.46,2.24,15.39,7.13,2.04,3.5,3.9,2.0,3.5,3.8,2.1,3.3,3.6,2.05,3.56,3.9,2.05,3.4,3.6,2.05,3.5,4.0,2.14,3.41,3.81
E0,2018-08-18,2018-2019,Tottenham,Fulham,83,75,85,74,84,77,82,73,34,33,25,25,898.6,254.25,3,1,H,1,0,H,25,10,11,3,9,5,5,2,0,0,0,0,3.27,1.44,2.11,1.42,2.48,0.38,8.38,89.5,1.28,6.0,12.0,1.28,6.0,10.0,1.27,6.0,10.0,1.28,6.29,12.44,1.25,6.0,10.0,1.29,6.0,12.0,1.27,6.5,11.96
E0,2018-08-18,2018-2019,West Ham,Bournemouth,78,76,80,76,78,76,77,76,37,37,26,25,359.0,310.0,1,2,A,1,0,H,11,12,5,5,14,10,6,4,6,2,0,0,1.1,1.69,0.34,1.69,0.88,1.82,6.77,15.41,2.1,3.6,3.7,2.1,3.3,3.75,2.05,3.55,3.55,2.09,3.65,3.69,2.05,3.6,3.4,2.1,3.6,3.7,2.1,3.6,3.74
E0,2018-08-19,2018-2019,Brighton,Manchester United,76,83,76,85,76,84,75,81,41,36,25,25,194.35,797.6,3,2,H,3,1,H,6,9,3,3,16,13,3,5,1,1,0,0,1.64,1.57,0.82,0.29,1.41,1.24,11.03,9.36,5.5,3.6,1.75,5.5,3.6,1.7,5.1,3.5,1.75,5.37,3.56,1.81,4.8,3.6,1.75,5.5,3.6,1.75,5.9,3.7,1.71
E0,2018-08-19,2018-2019,Burnley,Watford,77,77,76,77,77,77,78,76,33,39,28,26,197.25,239.1,1,3,A,1,1,D,8,9,3,6,8,19,5,2,1,2,0,0,0.39,1.92,0.3,1.08,0.21,2.66,7.84,8.73,2.45,3.1,3.4,2.4,3.1,3.2,2.4,3.1,3.15,2.47,3.08,3.37,2.38,3.0,3.25,2.4,3.1,3.5,2.48,3.11,3.36
E0,2018-08-19,2018-2019,Manchester City,Huddersfield,85,74,85,75,87,74,83,75,46,33,24,25,1200.0,137.45,6,1,H,3,1,H,32,5,14,1,9,4,10,3,0,2,0,0,4.6,0.66,3.06,0.63,2.96,0.03,9.18,35.22,1.1,13.0,26.0,1.07,12.0,31.0,1.08,10.5,29.0,1.1,12.39,32.7,1.06,12.0,29.0,1.06,13.0,34.0,1.08,13.93,36.05
E0,2018-08-20,2018-2019,Crystal Palace,Liverpool,77,82,77,85,76,82,75,81,36,39,26,24,289.0,1170.0,0,2,A,0,1,A,8,16,2,6,6,13,6,7,1,1,1,0,0.37,2.82,0.21,1.82,0.09,2.85,30.08,7.43,7.0,5.0,1.44,6.75,4.75,1.44,7.0,4.5,1.45,7.34,5.09,1.45,6.0,4.75,1.44,7.0,5.0,1.45,8.01,5.28,1.41
E0,2018-08-25,2018-2019,Arsenal,West Ham,82,79,85,79,82,78,81,76,42,37,24,26,659.05,359.0,3,1,H,1,1,D,17,13,10,5,16,13,10,2,1,3,0,0,1.79,1.18,1.61,1.12,1.82,0.93,5.03,17.72,1.36,5.5,9.0,1.36,5.25,7.75,1.4,4.8,7.5,1.38,5.52,8.77,1.36,5.0,7.5,1.36,5.5,9.0,1.37,5.65,8.67
