Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2015-08-15,2015-2016,Swansea,Newcastle United,77,76,76,77,75,77,76,76,36,42,25,24,145.8,198.0,2,0,H,1,0,H,19,4,6,2,11,8,4,4,2,1,0,1,1.97,0.11,1.96,0.05,2.83,0.1,6.24,34.33,1.95,3.6,4.33,1.95,3.5,3.7,1.9,3.45,3.8,1.94,3.66,4.3,1.95,3.2,4.33,1.95,3.6,4.33,1.85,3.86,4.49
E0,2015-08-15,2015-2016,Tottenham,Stoke,79,76,78,77,77,76,79,76,31,31,23,27,371.85,147.0,2,2,D,2,0,H,13,16,7,7,15,11,4,3,2,2,0,0,1.71,2.81,1.43,1.9,0.68,2.13,10.13,11.61,1.8,3.75,5.0,1.8,3.7,4.1,1.7,3.6,4.7,1.79,3.75,5.09,1.8,3.3,5.0,1.8,3.7,5.0,1.74,3.76,5.55
E0,2015-08-15,2015-2016,Watford,West Bromwich Albion,75,76,75,77,72,74,74,72,39,35,27,26,137.0,113.1,0,0,D,0,0,D,16,6,5,0,13,10,2,4,1,2,0,0,0.76,0.68,0.69,0.64,1.37,1.25,5.95,11.5,2.3,3.4,3.4,2.3,3.2,3.1,2.4,3.2,2.85,2.25,3.41,3.54,2.3,3.2,3.2,2.3,3.3,3.5,2.09,3.62,3.76
E0,2015-08-15,2015-2016,West Ham,Leicester,76,74,76,74,75,73,75,73,50,35,24,26,201.33,161.1,1,2,A,0,2,A,10,11,3,6,11,12,8,4,1,3,1,0,0.51,1.81,0.42,1.07,0.32,2.51,6.38,15.05,2.25,3.5,3.4,2.25,3.2,3.5,2.2,3.3,3.1,2.25,3.52,3.42,2.3,3.2,3.2,2.25,3.5,3.4,2.38,3.54,3.15
E0,2015-08-16,2015-2016,Crystal Palace,Arsenal,75,82,74,82,75,80,76,80,38,41,26,24,135.7,457.85,1,2,A,1,1,D,11,20,4,7,14,12,6,6,1,1,0,0,0.96,2.06,0.73,1.63,0.6,2.19,11.71,6.97,5.25,3.9,1.73,5.0,3.75,1.75,4.7,3.6,1.7,5.34,3.97,1.72,5.0,3.5,1.75,5.2,3.8,1.75,5.4,4.08,1.69
E0,2015-08-16,2015-2016,Manchester City,Chelsea,82,83,84,83,83,82,81,82,38,40,25,24,499.35,553.5,3,0,H,1,0,H,18,10,8,3,19,13,5,1,4,2,0,0,2.19,0.48,2.16,0.39,2.58,0.28,5.73,6.62,2.1,3.5,3.75,2.1,3.4,3.7,2.1,3.3,3.3,2.08,3.56,3.87,2.15,3.2,3.6,2.1,3.5,3.9,2.01,3.69,3.97
E0,2015-08-17,2015-2016,Liverpool,Bournemouth,80,73,82,74,78,72,77,72,44,49,23,25,375.25,99.9,1,0,H,1,0,H,18,13,2,2,11,18,6,8,1,4,0,0,2.15,0.46,1.5,0.46,2.58,0.28,6.41,10.0,1.45,4.75,8.0,1.48,4.75,7.25,1.4,4.4,7.3,1.44,4.74,8.6,1.5,4.2,6.5,1.45,4.75,8.5,1.54,4.37,7.07
E0,2015-08-22,2015-2016,Crystal Palace,Aston Villa,75,75,74,74,75,74,76,76,38,44,26,24,135.7,117.95,2,1,H,0,0,D,16,11,6,2,12,15,6,4,3,3,0,0,1.24,0.77,1.09,0.72,1.73,0.96,8.17,8.48,1.85,3.6,4.75,1.85,3.5,4.1,1.9,3.4,3.9,1.85,3.63,4.89,1.85,3.4,4.5,1.85,3.6,4.8,1.81,3.79,4.93
E0,2015-08-22,2015-2016,Leicester,Tottenham,74,79,74,78,73,77,73,79,35,31,26,23,161.1,371.85,1,1,D,0,0,D,13,19,2,6,7,14,2,7,1,4,0,0,0.83,1.89,0.63,1.73,0.58,2.2,15.58,4.95,2.63,3.6,2.75,2.65,3.3,2.65,2.6,3.2,2.6,2.69,3.52,2.75,2.7,3.1,2.7,2.7,3.5,2.7,2.61,3.5,2.85
E0,2015-08-22,2015-2016,Manchester United,Newcastle United,81,76,86,77,81,77,78,76,44,42,23,24,439.85,198.0,0,0,D,0,0,D,20,7,8,0,15,11,11,5,2,2,0,0,1.25,0.44,0.67,0.41,2.06,0.65,4.71,18.44,1.36,5.25,10.0,1.36,5.0,9.25,1.35,4.8,7.6,1.39,5.15,9.62,1.36,5.0,8.0,1.36,5.0,10.5,1.34,5.44,11.12
