Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2016-08-13,2016-2017,Burnley,Swansea,73,77,73,79,73,77,73,76,36,37,26,26,107.18,157.1,0,1,A,0,0,D,10,17,3,9,10,14,7,4,3,2,0,0,1.05,1.72,0.78,1.0,0.78,1.93,10.95,10.31,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65,2.47,3.32,3.19,2.5,3.2,2.9,2.5,3.2,3.25,2.79,3.16,2.89
E0,2016-08-13,2016-2017,Crystal Palace,West Bromwich Albion,77,76,81,77,76,76,76,74,45,30,26,27,228.43,123.2,0,1,A,0,0,D,14,13,4,3,12,15,3,6,2,2,0,0,0.99,0.68,0.48,0.61,1.62,1.04,4.26,7.08,2.0,3.3,4.5,2.0,3.2,3.9,2.1,3.3,3.3,2.06,3.29,4.32,2.05,3.1,4.0,2.0,3.3,4.4,2.25,3.15,3.86
E0,2016-08-13,2016-2017,Everton,Tottenham,80,81,81,84,79,80,81,81,39,38,25,23,311.25,543.65,1,1,D,1,0,H,12,13,6,4,10,14,5,6,0,0,0,0,0.79,1.12,0.35,0.39,1.03,1.64,7.42,5.41,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5,3.25,3.43,2.37,3.1,3.1,2.4,3.25,3.4,2.38,3.64,3.54,2.16
E0,2016-08-13,2016-2017,Hull,Leicester,74,78,76,77,73,79,74,76,42,31,26,26,135.85,218.65,2,1,H,1,0,H,14,18,5,5,8,17,5,3,2,2,0,0,0.74,2.46,0.23,1.27,0.29,2.59,17.87,11.28,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1,4.43,3.55,1.95,4.2,3.25,1.95,4.4,3.5,1.95,4.68,3.5,1.92
E0,2016-08-13,2016-2017,Manchester City,Sunderland,83,76,84,79,85,77,82,75,35,42,26,25,576.5,132.0,2,1,H,1,0,H,16,7,4,3,11,14,9,6,1,2,0,0,1.95,1.1,0.9,0.98,2.04,0.7,5.43,16.0,1.25,6.5,15.0,1.22,6.0,11.5,1.25,5.5,10.3,1.27,6.48,13.15,1.25,5.5,13.0,1.25,6.5,15.0,1.25,6.5,14.5
E0,2016-08-13,2016-2017,Middlesbrough,Stoke,75,78,80,78,74,79,73,77,35,34,27,27,128.8,186.0,1,1,D,1,0,H,12,12,2,1,18,14,9,6,3,5,0,0,1.81,0.49,1.63,0.32,2.53,0.31,7.31,9.05,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9,2.33,3.24,3.53,2.4,3.1,3.1,2.38,3.2,3.4,2.2,3.38,3.7
E0,2016-08-13,2016-2017,Southampton,Watford,77,77,76,77,76,77,78,75,36,46,25,26,263.75,175.65,1,1,D,0,1,A,24,5,6,1,8,12,6,2,1,2,0,1,0.94,0.18,0.62,0.16,2.02,0.59,6.58,14.96,1.8,3.75,5.0,1.8,3.4,4.5,1.8,3.5,4.2,1.88,3.68,4.64,1.83,3.4,4.5,1.83,3.6,5.0,1.8,3.83,4.91
E0,2016-08-14,2016-2017,Arsenal,Liverpool,83,81,83,82,84,81,79,80,42,38,24,24,542.0,425.65,3,4,A,1,1,D,9,16,5,7,13,17,5,4,3,3,0,0,1.18,1.66,0.36,1.42,1.0,1.71,8.67,9.59,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9,2.41,3.53,3.1,2.5,3.1,3.0,2.4,3.5,3.1,2.8,3.44,2.68
E0,2016-08-14,2016-2017,Bournemouth,Manchester United,73,83,76,90,72,83,72,81,41,42,24,24,131.6,531.45,1,3,A,0,1,A,9,11,3,7,7,10,4,2,0,1,0,0,0.52,1.91,0.39,1.14,0.32,2.52,14.63,10.52,4.75,3.6,1.85,4.6,3.5,1.75,4.5,3.5,1.75,4.7,3.62,1.88,4.5,3.4,1.85,4.75,3.6,1.87,5.4,3.65,1.78
E0,2016-08-15,2016-2017,Chelsea,West Ham,83,78,84,79,83,79,82,77,49,44,24,24,686.7,273.05,2,1,H,0,0,D,16,7,6,3,16,16,7,1,5,2,0,0,1.46,0.45,0.49,0.29,2.29,0.47,6.26,11.89,1.65,4.0,6.0,1.6,3.75,5.5,1.65,3.6,5.1,1.68,4.16,5.48,1.67,3.6,5.5,1.65,4.1,5.75,1.52,4.38,7.45
